Name,LastName,H.R. 6304 (Foreign Intelligence Surveillance Act of 1978 ),S. 2685 (USA FREEDOM Act of 2014 ),S. 990 (PATRIOT Sunsets Extension Act of 2011 ),H.R. 3199 (USA PATRIOT Improvement and Reauthorization Act of 2005 ),Current,Sum
Leahy (D-VT),Leahy,Nay,Yea,Nay,Nay,Yep,3.5
Murray (D-WA),Murray,Nay,Yea,Nay,Nay,Yep,3.5
Wyden (D-OR),Wyden,Nay,Yea,Nay,Nay,Yep,3.5
Brown (D-OH),Brown,Nay,Yea,Nay,#N/A,Yep,3
Sanders (I-VT),Sanders,Nay,Yea,Nay,#N/A,Yep,3
Tester (D-MT),Tester,Nay,Yea,Nay,#N/A,Yep,3
Coons (D-DE),Coons,#N/A,Yea,Nay,#N/A,Yep,2.5
Franken (D-MN),Franken,#N/A,Yea,Nay,#N/A,Yep,2.5
Heller (R-NV),Heller,#N/A,Yea,Nay,#N/A,Yep,2.5
Lee (R-UT),Lee,#N/A,Yea,Nay,#N/A,Yep,2.5
Merkley (D-OR),Merkley,#N/A,Yea,Nay,#N/A,Yep,2.5
Udall (D-NM),Udall,#N/A,Yea,Nay,#N/A,Yep,2.5
Baldwin (D-WI),Baldwin,#N/A,Yea,#N/A,#N/A,Yep,2
Blumenthal (D-CT),Blumenthal,#N/A,Yea,Not voting,#N/A,Yep,2
Booker (D-NJ),Booker,#N/A,Yea,#N/A,#N/A,Yep,2
Cantwell (D-WA),Cantwell,Nay,Yea,Nay,Yea,Yep,2
Cruz (R-TX),Cruz,#N/A,Yea,#N/A,#N/A,Yep,2
Donnelly (D-IN),Donnelly,#N/A,Yea,#N/A,#N/A,Yep,2
Durbin (D-IL),Durbin,Nay,Yea,Nay,Yea,Yep,2
Heinrich (D-NM),Heinrich,#N/A,Yea,#N/A,#N/A,Yep,2
Heitkamp (D-ND),Heitkamp,#N/A,Yea,#N/A,#N/A,Yep,2
Hirono (D-HI),Hirono,#N/A,Yea,#N/A,#N/A,Yep,2
Kaine (D-VA),Kaine,#N/A,Yea,#N/A,#N/A,Yep,2
King (I-ME),King,#N/A,Yea,#N/A,#N/A,Yep,2
Markey (D-MA),Markey,#N/A,Yea,#N/A,#N/A,Yep,2
Murphy (D-CT),Murphy,#N/A,Yea,#N/A,#N/A,Yep,2
Schatz (D-HI),Schatz,#N/A,Yea,#N/A,#N/A,Yep,2
Warren (D-MA),Warren,#N/A,Yea,#N/A,#N/A,Yep,2
Cardin (D-MD),Cardin,Nay,Yea,Yea,#N/A,Yep,1.5
Klobuchar (D-MN),Klobuchar,Nay,Yea,Yea,#N/A,Yep,1.5
Menendez (D-NJ),Menendez,Nay,Yea,Not voting,Yea,Yep,1.5
Schumer (D-NY),Schumer,Nay,Yea,Not voting,Yea,Yep,1.5
Bennet (D-CO),Bennet,#N/A,Yea,Yea,#N/A,Yep,1
Gillibrand (D-NY),Gillibrand,#N/A,Yea,Yea,#N/A,Yep,1
Manchin (D-WV),Manchin,#N/A,Yea,Yea,#N/A,Yep,1
Shaheen (D-NH),Shaheen,#N/A,Yea,Yea,#N/A,Yep,1
Warner (D-VA),Warner,#N/A,Yea,Yea,#N/A,Yep,1
Boxer (D-CA),Boxer,Nay,Yea,Yea,Yea,Yep,0.5
Murkowski (R-AK),Murkowski,Yea,Yea,Nay,Yea,Yep,0.5
Reed (D-RI),Reed,Nay,Yea,Yea,Yea,Yep,0.5
Reid (D-NV),Reid,Nay,Yea,Yea,Yea,Yep,0.5
Stabenow (D-MI),Stabenow,Nay,Yea,Yea,Yea,Yep,0.5
Capito (R-WV),Capito,#N/A,#N/A,#N/A,#N/A,Yep,0
Casey (D-PA),Casey,Yea,Yea,Yea,#N/A,Yep,0
Cassidy (R-LA),Cassidy,#N/A,#N/A,#N/A,#N/A,Yep,0
Cotton (R-AR),Cotton,#N/A,#N/A,#N/A,#N/A,Yep,0
Daines (R-MT),Daines,#N/A,#N/A,#N/A,#N/A,Yep,0
Ernst (R-IA),Ernst,#N/A,#N/A,#N/A,#N/A,Yep,0
Gardner (R-CO),Gardner,#N/A,#N/A,#N/A,#N/A,Yep,0
Lankford (R-OK),Lankford,#N/A,#N/A,#N/A,#N/A,Yep,0
McCaskill (D-MO),McCaskill,Yea,Yea,Yea,#N/A,Yep,0
Perdue (R-GA),Perdue,#N/A,#N/A,#N/A,#N/A,Yep,0
Peters (D-MI),Peters,#N/A,#N/A,#N/A,#N/A,Yep,0
Rounds (R-SD),Rounds,#N/A,#N/A,#N/A,#N/A,Yep,0
Sasse (R-NE),Sasse,#N/A,#N/A,#N/A,#N/A,Yep,0
Sullivan (R-AK),Sullivan,#N/A,#N/A,#N/A,#N/A,Yep,0
Tillis (R-NC),Tillis,#N/A,#N/A,#N/A,#N/A,Yep,0
Whitehouse (D-RI),Whitehouse,Yea,Yea,Yea,#N/A,Yep,0
Paul (R-KY),Paul,#N/A,Nay,Nay,#N/A,Yep,-0.5
Carper (D-DE),Carper,Yea,Yea,Yea,Yea,Yep,-1
Feinstein (D-CA),Feinstein,Yea,Yea,Yea,Yea,Yep,-1
Fischer (R-NE),Fischer,#N/A,Nay,#N/A,#N/A,Yep,-1
Flake (R-AZ),Flake,#N/A,Nay,#N/A,#N/A,Yep,-1
Mikulski (D-MD),Mikulski,Yea,Yea,Yea,Yea,Yep,-1
Rubio (R-FL),Rubio,#N/A,Nay,Not voting,#N/A,Yep,-1
Scott (R-SC),Scott,#N/A,Nay,#N/A,#N/A,Yep,-1
Ayotte (R-NH),Ayotte,#N/A,Nay,Yea,#N/A,Yep,-2
Blunt (R-MO),Blunt,#N/A,Nay,Yea,#N/A,Yep,-2
Boozman (R-AR),Boozman,#N/A,Nay,Yea,#N/A,Yep,-2
Coats (R-IN),Coats,#N/A,Nay,Yea,#N/A,Yep,-2
Hoeven (R-ND),Hoeven,#N/A,Nay,Yea,#N/A,Yep,-2
Johnson (R-WI),Johnson,#N/A,Nay,Yea,#N/A,Yep,-2
Kirk (R-IL),Kirk,#N/A,Nay,Yea,#N/A,Yep,-2
Moran (R-KS),Moran,#N/A,Nay,Yea,#N/A,Yep,-2
Portman (R-OH),Portman,#N/A,Nay,Yea,#N/A,Yep,-2
Risch (R-ID),Risch,#N/A,Nay,Yea,#N/A,Yep,-2
Toomey (R-PA),Toomey,#N/A,Nay,Yea,#N/A,Yep,-2
Barrasso (R-WY),Barrasso,Yea,Nay,Yea,#N/A,Yep,-3
Corker (R-TN),Corker,Yea,Nay,Yea,#N/A,Yep,-3
McCain (R-AZ),McCain,Not voting,Nay,Yea,Yea,Yep,-3
Roberts (R-KS),Roberts,Yea,Nay,Not voting,Yea,Yep,-3
Sessions (R-AL),Sessions,Not voting,Nay,Yea,Yea,Yep,-3
Wicker (R-MS),Wicker,Yea,Nay,Yea,#N/A,Yep,-3
Alexander (R-TN),Alexander,Yea,Nay,Yea,Yea,Yep,-4
Burr (R-NC),Burr,Yea,Nay,Yea,Yea,Yep,-4
Cochran (R-MS),Cochran,Yea,Nay,Yea,Yea,Yep,-4
Collins (R-ME),Collins,Yea,Nay,Yea,Yea,Yep,-4
Cornyn (R-TX),Cornyn,Yea,Nay,Yea,Yea,Yep,-4
Crapo (R-ID),Crapo,Yea,Nay,Yea,Yea,Yep,-4
Enzi (R-WY),Enzi,Yea,Nay,Yea,Yea,Yep,-4
Graham (R-SC),Graham,Yea,Nay,Yea,Yea,Yep,-4
Grassley (R-IA),Grassley,Yea,Nay,Yea,Yea,Yep,-4
Hatch (R-UT),Hatch,Yea,Nay,Yea,Yea,Yep,-4
Inhofe (R-OK),Inhofe,Yea,Nay,Yea,Yea,Yep,-4
Isakson (R-GA),Isakson,Yea,Nay,Yea,Yea,Yep,-4
McConnell (R-KY),McConnell,Yea,Nay,Yea,Yea,Yep,-4
Nelson (D-FL),Nelson,Yea,Nay,Yea,Yea,Yep,-4
Shelby (R-AL),Shelby,Yea,Nay,Yea,Yea,Yep,-4
Thune (R-SD),Thune,Yea,Nay,Yea,Yea,Yep,-4
Vitter (R-LA),Vitter,Yea,Nay,Yea,Yea,Yep,-4